tingkat setelah parent,parent,similarity
3,jember,"[('probolinggo', 0.7383838295936584), ('jombang', 0.7361061573028564), ('banyuwangi', 0.7293094396591187), ('lumajang', 0.7280812859535217), ('situbondo', 0.7233957052230835), ('bondowoso', 0.7222006916999817), ('pasuruan', 0.7121523022651672), ('bojonegoro', 0.7067436575889587), ('madiun', 0.7049100399017334), ('malang', 0.6851325631141663)]"
3,kediri,"[('mojokerto', 0.7604965567588806), ('pasuruan', 0.7587558031082153), ('blitar', 0.7578976154327393), ('probolinggo', 0.7322205305099487), ('malang', 0.7242322564125061), ('bojonegoro', 0.7185395956039429), ('lamongan', 0.7119742035865784), ('singosari', 0.7077072262763977), ('tulungagung', 0.7048220038414001), ('madiun', 0.7018263339996338)]"
3,cilacap,"[('sragen', 0.7943358421325684), ('banyumas', 0.7668882012367249), ('purbalingga', 0.7627131342887878), ('banjarnegara', 0.7560648322105408), ('brebes', 0.7540433406829834), ('wonogiri', 0.7415791153907776), ('wonosobo', 0.7407473921775818), ('purworejo', 0.7286715507507324), ('karanganyar', 0.7278130650520325), ('grobogan', 0.7268451452255249)]"
3,ngawi,"[('sragen', 0.8479686379432678), ('purbalingga', 0.8121106028556824), ('magetan', 0.8044227361679077), ('nganjuk', 0.8043054342269897), ('grobogan', 0.8012614250183105), ('karanganyar', 0.7982253432273865), ('banyumas', 0.7955483794212341), ('wonosobo', 0.7950112819671631), ('bojonegoro', 0.7927669286727905), ('boyolali', 0.7895718812942505)]"
3,bogor,"[('bandung', 0.7604233622550964), ('sukabumi', 0.7495936155319214), ('bekasi', 0.730721116065979), ('cianjur', 0.7137830257415771), ('depok', 0.6908437609672546), ('cimahi', 0.6668136715888977), ('karawang', 0.6627344489097595), ('garut', 0.6618160009384155), ('tasikmalaya', 0.6616714000701904), ('purwakarta', 0.6609673500061035)]"
3,malang,"[('surabaya', 0.724402129650116), ('kediri', 0.7242322564125061), ('semarang', 0.720335066318512), ('blitar', 0.6941945552825928), ('bandung', 0.6888080835342407), ('jember', 0.685132622718811), ('mojokerto', 0.6767305135726929), ('probolinggo', 0.6701105237007141), ('madiun', 0.6524862051010132), ('magelang', 0.6356691122055054)]"
3,tasikmalaya,"[('garut', 0.7935009002685547), ('purwakarta', 0.7895569801330566), ('cianjur', 0.7845208644866943), ('sukabumi', 0.7710089683532715), ('ciamis', 0.7674336433410645), ('majalengka', 0.7401385307312012), ('cimahi', 0.7298651933670044), ('sukapura', 0.7002620697021484), ('pangandaran', 0.6973034143447876), ('sumedang', 0.6970751285552979)]"
3,cimahi,"[('tasikmalaya', 0.7298651933670044), ('sukabumi', 0.6956406831741333), ('bandung', 0.6755127310752869), ('batujajar', 0.6710490584373474), ('purwakarta', 0.6675536632537842), ('bogor', 0.6668136119842529), ('magelang', 0.6619254350662231), ('depok', 0.6578271389007568), ('soreang', 0.6571242809295654), ('dayeuhkolot', 0.6538770198822021)]"
3,purwakarta,"[('tasikmalaya', 0.7895569205284119), ('cianjur', 0.7728084921836853), ('padalarang', 0.7587591409683228), ('majalengka', 0.7518793344497681), ('garut', 0.7408190369606018), ('cibatu', 0.738258421421051), ('cicalengka', 0.7330455780029297), ('karawang', 0.729983925819397), ('sukabumi', 0.7260526418685913), ('ciamis', 0.7211009860038757)]"
3,cianjur,"[('garut', 0.8320609927177429), ('sukabumi', 0.7903581857681274), ('tasikmalaya', 0.7845208644866943), ('purwakarta', 0.7728084921836853), ('ciamis', 0.7714740037918091), ('sumedang', 0.7637450695037842), ('majalengka', 0.751198947429657), ('majalaya', 0.7280389070510864), ('sukapura', 0.7207365036010742), ('bogor', 0.7137830853462219)]"
