,tingkat setelah parent,parent,similarity
1092,4,syaiful,"[('yudi', 0.8561258912086487), ('ramli', 0.8301786184310913), ('mochammad', 0.8283734917640686), ('priyanto', 0.8255060911178589), ('syamsul', 0.823061466217041), ('wahyudi', 0.8209073543548584), ('alfian', 0.8170083165168762), ('mochamad', 0.814333975315094), ('hendri', 0.8120974898338318), ('akhmad', 0.8118677735328674)]"
1095,4,firmansyah,"[('yudi', 0.8536427021026611), ('alfian', 0.8450008630752563), ('darmawan', 0.838188648223877), ('hendri', 0.8373010158538818), ('oky', 0.8343704342842102), ('wicaksono', 0.8309948444366455), ('ardiansyah', 0.8300347328186035), ('hartoyo', 0.8267987966537476), ('rully', 0.8229494094848633), ('hamdani', 0.8227912187576294)]"
1099,4,arief,"[('yudi', 0.838502049446106), ('budiman', 0.8128585815429688), ('hidayat', 0.8058383464813232), ('sofyan', 0.8021304607391357), ('ridwan', 0.8001793026924133), ('fahmi', 0.7999845147132874), ('bachtiar', 0.7970776557922363), ('herry', 0.7951144576072693), ('zaenal', 0.7945252060890198), ('edy', 0.7941365838050842)]"
1100,4,andri,"[('hengky', 0.8462529182434082), ('rully', 0.8439784646034241), ('yudi', 0.8362203240394592), ('noval', 0.830697238445282), ('adri', 0.8302506804466248), ('permana', 0.8258274793624878), ('setiadi', 0.8250225782394409), ('suwandi', 0.8239660263061523), ('ragil', 0.8214413523674011), ('firmansyah', 0.8203725218772888)]"
1269,5,pambudi,"[('wardana', 0.814868688583374), ('setyo', 0.7984324097633362), ('dedy', 0.7944017052650452), ('saputro', 0.7916021943092346), ('handoyo', 0.7900902628898621), ('hery', 0.7817935347557068), ('wahyudi', 0.7794036269187927), ('wicaksono', 0.7768157720565796), ('setyawan', 0.7765573263168335), ('mulyana', 0.7760552167892456)]"
1270,5,gunadi,"[('wicaksono', 0.8392602205276489), ('suwandi', 0.8184686899185181), ('permana', 0.8086245059967041), ('satrio', 0.80714350938797), ('kurniadi', 0.8065602779388428), ('darmawan', 0.8033789992332458), ('rahadi', 0.8028486371040344), ('rony', 0.7954156398773193), ('wibisono', 0.79534512758255), ('hengky', 0.7931951880455017)]"
1293,5,sofwan,"[('mochammad', 0.8566823601722717), ('suryana', 0.8490713238716125), ('muhidin', 0.8469318151473999), ('hartoyo', 0.8433512449264526), ('mochamad', 0.8408951759338379), ('samsudin', 0.8387213349342346), ('akhmad', 0.83565354347229), ('hamdani', 0.8343033194541931), ('imron', 0.8312435150146484), ('yoyok', 0.8307087421417236)]"
1296,5,sulaeman,"[('moch', 0.8569434285163879), ('mochammad', 0.8430125117301941), ('suryana', 0.838167130947113), ('efendi', 0.8363175392150879), ('adang', 0.8357139229774475), ('husin', 0.8331367373466492), ('mochamad', 0.8310198783874512), ('akhmad', 0.8308696150779724), ('baharuddin', 0.8258640170097351), ('muh', 0.825533926486969)]"
1298,5,suwandi,"[('suryana', 0.8322388529777527), ('rahadi', 0.8319717049598694), ('wicaksono', 0.8292215466499329), ('widjanarko', 0.8286482095718384), ('setiadi', 0.8256089687347412), ('hengky', 0.8243252038955688), ('andri', 0.8239659070968628), ('yanto', 0.8223953247070312), ('setyo', 0.822071373462677), ('budianto', 0.8198481798171997)]"
1307,5,alfian,"[('firmansyah', 0.8450007438659668), ('hartoyo', 0.841124951839447), ('hendri', 0.8339032530784607), ('yudi', 0.8210896849632263), ('suyud', 0.8179513812065125), ('ichsan', 0.8172014355659485), ('syaiful', 0.8170083165168762), ('hamdani', 0.8139316439628601), ('taufik', 0.8138689398765564), ('wahyudi', 0.8134984970092773)]"
1379,5,indrawan,"[('wicaksono', 0.8295059204101562), ('wirawan', 0.8163884282112122), ('hermawan', 0.8144877552986145), ('firmansyah', 0.8128324151039124), ('oky', 0.8122250437736511), ('kurniawan', 0.8106897473335266), ('setyawan', 0.8092425465583801), ('wibisono', 0.8084334135055542), ('ragil', 0.807487964630127), ('rully', 0.8056451082229614)]"
1380,5,wibowo,"[('hermawan', 0.833818793296814), ('yudi', 0.8332986831665039), ('wahyudi', 0.8274682760238647), ('heri', 0.8273559212684631), ('prasetyo', 0.8269364237785339), ('handoko', 0.826113760471344), ('wicaksono', 0.8223752379417419), ('wirawan', 0.8126557469367981), ('darmawan', 0.8092869520187378), ('cahyo', 0.8069084882736206)]"
1392,5,susanto,"[('setiawan', 0.8553972840309143), ('kurniawan', 0.841374933719635), ('heryanto', 0.813906192779541), ('hendrawan', 0.8099775314331055), ('hermawan', 0.8084508180618286), ('setyawan', 0.8074173927307129), ('wahyudi', 0.8066501617431641), ('megaranto', 0.8055596947669983), ('budiarto', 0.8049241304397583), ('darmawan', 0.8048540949821472)]"
1466,5,novia,"[('agustina', 0.8784818649291992), ('fitriana', 0.8762916326522827), ('anggraeni', 0.8671127557754517), ('kolopaking', 0.8657809495925903), ('safitri', 0.8613106608390808), ('dita', 0.8608523011207581), ('pingkan', 0.8595196604728699), ('ramadhani', 0.8585073947906494), ('pratiwi', 0.856656551361084), ('tyas', 0.8558921813964844)]"
1468,5,aulia,"[('ramadhani', 0.862907886505127), ('anggraini', 0.8355045914649963), ('azizah', 0.8321158289909363), ('cahya', 0.8305157423019409), ('annisa', 0.8295189738273621), ('rizki', 0.8292189836502075), ('shandy', 0.8248447179794312), ('novia', 0.8238680362701416), ('pratiwi', 0.8236032128334045), ('winda', 0.8219683170318604)]"
1469,5,safitri,"[('puspitasari', 0.8923789262771606), ('anggraeni', 0.8822501301765442), ('anggraini', 0.8782735466957092), ('febriani', 0.8773221373558044), ('pratiwi', 0.8717936873435974), ('yulianti', 0.8681514263153076), ('novianti', 0.8641731142997742), ('ramadhani', 0.8618268370628357), ('novia', 0.8613108396530151), ('alivia', 0.8610568642616272)]"
1470,5,rizki,"[('ramadhani', 0.8541241884231567), ('rizky', 0.8375561237335205), ('anggraini', 0.8319952487945557), ('aulia', 0.8292189836502075), ('cahya', 0.8282297849655151), ('irwansyah', 0.8239110112190247), ('pradana', 0.8090167045593262), ('wulandari', 0.8052735924720764), ('firmansyah', 0.804636538028717), ('pratiwi', 0.8037064671516418)]"
1612,5,gondo,"[('asmoro', 0.8161935806274414), ('radityo', 0.802863597869873), ('nurhadi', 0.7723778486251831), ('widjanarko', 0.7714288830757141), ('subekti', 0.7702306509017944), ('atmaja', 0.7692784667015076), ('sunarya', 0.767711877822876), ('surachman', 0.7671000957489014), ('atmo', 0.7655753493309021), ('karyo', 0.7645142674446106)]"
1613,5,suyitno,"[('priyo', 0.8152772784233093), ('wahyono', 0.808297336101532), ('asmoro', 0.8075374364852905), ('pranyoto', 0.8058024048805237), ('sanyoto', 0.802987277507782), ('subandi', 0.7998398542404175), ('sutisna', 0.7994866371154785), ('supriyadi', 0.7994023561477661), ('ansori', 0.7993845343589783), ('putranto', 0.7982175350189209)]"
1620,5,sugito,"[('purnomo', 0.8161357045173645), ('hery', 0.8150835633277893), ('suwarno', 0.8131996393203735), ('sugeng', 0.8121629953384399), ('sumardi', 0.8050888776779175), ('nurhadi', 0.8050515651702881), ('setyo', 0.8040702939033508), ('supriadi', 0.8006197214126587), ('sunarya', 0.8004881143569946), ('sutisna', 0.8000741600990295)]"
1633,5,bawono,"[('permana', 0.7893731594085693), ('wirya', 0.7829294800758362), ('atmaja', 0.7808883786201477), ('hardjakusumah', 0.755032479763031), ('kurnia', 0.7532875537872314), ('setyawan', 0.7523972392082214), ('wicaksono', 0.7462533116340637), ('kusumah', 0.7447821497917175), ('yoyok', 0.7441334128379822), ('wardana', 0.7436466217041016)]"
1638,5,wijoyo,"[('joyo', 0.821480929851532), ('kusumo', 0.8142624497413635), ('sentiko', 0.7969737648963928), ('gph', 0.7797667980194092), ('mangun', 0.779218316078186), ('rekso', 0.7783437967300415), ('karto', 0.7771654725074768), ('cokro', 0.7763055562973022), ('harjo', 0.7742713093757629), ('kasan', 0.7718212604522705)]"
1640,5,hardjakusumah,"[('dajat', 0.8626589775085449), ('samsudin', 0.834397554397583), ('acil', 0.8295056223869324), ('sonjaya', 0.7997815608978271), ('yoyok', 0.7971634268760681), ('hartoyo', 0.7940928936004639), ('kurniadi', 0.7901905179023743), ('jayadi', 0.7888394594192505), ('setiadi', 0.7876196503639221), ('sofwan', 0.7868344187736511)]"
1641,5,djojo,"[('haryo', 0.8477241396903992), ('yoyok', 0.8211978673934937), ('wiyono', 0.8183196187019348), ('wardoyo', 0.8085421919822693), ('atmojo', 0.8071125149726868), ('atmadja', 0.8031094074249268), ('soeparno', 0.7975242137908936), ('singgih', 0.797025740146637), ('sanyoto', 0.7952821254730225), ('suyono', 0.7950807213783264)]"
1645,5,ario,"[('aryo', 0.8134713768959045), ('kusumo', 0.8054978251457214), ('haryo', 0.8033223748207092), ('rangga', 0.768805742263794), ('kusumah', 0.7625482082366943), ('cokro', 0.7538648843765259), ('wicaksono', 0.7533848881721497), ('bayu', 0.7475308179855347), ('gph', 0.7473019957542419), ('djojo', 0.7462601065635681)]"
1646,5,gph,"[('kgph', 0.8379650115966797), ('haryo', 0.7984105944633484), ('wijoyo', 0.7797667384147644), ('soerjo', 0.7761151790618896), ('djojo', 0.7747917771339417), ('kusumo', 0.7679893374443054), ('krt', 0.755558431148529), ('margono', 0.750214695930481), ('ario', 0.7473019957542419), ('gbph', 0.7470496892929077)]"
1648,5,cokro,"[('wardoyo', 0.812108039855957), ('sastro', 0.7910122275352478), ('haryo', 0.7904776930809021), ('kusumo', 0.7858954668045044), ('djojo', 0.7848920226097107), ('puspo', 0.7846535444259644), ('sutisna', 0.7825711369514465), ('nurhadi', 0.77719646692276), ('wijoyo', 0.7763054966926575), ('karto', 0.772942841053009)]"
1653,5,soeria,"[('atmadja', 0.8317074775695801), ('kasoema', 0.7827114462852478), ('harya', 0.769825279712677), ('adji', 0.7669839262962341), ('koesoemah', 0.763870358467102), ('ratoe', 0.7569997310638428), ('djajadiningrat', 0.7490825057029724), ('haryo', 0.7445271611213684), ('ngabehi', 0.7427886128425598), ('sacakusumah', 0.735281229019165)]"
1656,5,koesoemah,"[('atmadja', 0.8008276224136353), ('adinata', 0.7907597422599792), ('adiningrat', 0.7759277820587158), ('soeria', 0.7638702988624573), ('harya', 0.7555823922157288), ('diningrat', 0.7530694007873535), ('djojo', 0.7526867389678955), ('anoem', 0.7373329401016235), ('gph', 0.7361370921134949), ('natakusuma', 0.7345341444015503)]"
1657,5,adji,"[('ratoe', 0.7922099232673645), ('atmadja', 0.7752547264099121), ('soeria', 0.7669838666915894), ('goesti', 0.7582533955574036), ('atmaja', 0.7559985518455505), ('anum', 0.7510989308357239), ('kusumah', 0.7472339272499084), ('kesuma', 0.7453243732452393), ('haryo', 0.7355859279632568), ('kasuma', 0.7347699999809265)]"
1659,5,asikin,"[('soeparno', 0.8129265904426575), ('soebekti', 0.8054213523864746), ('gumilar', 0.8046536445617676), ('sukarjo', 0.80464768409729), ('pranyoto', 0.797231137752533), ('hadinoto', 0.7959529161453247), ('rochim', 0.7914173007011414), ('samsudin', 0.7912576794624329), ('sujono', 0.7878342270851135), ('sukarya', 0.7867789268493652)]"
1660,5,adiningrat,"[('diningrat', 0.8262732625007629), ('adinata', 0.806311309337616), ('suryokusumo', 0.8015430569648743), ('jayaningrat', 0.7907230854034424), ('glr', 0.7857523560523987), ('condro', 0.7803663611412048), ('afloes', 0.7801967263221741), ('koesoemah', 0.7759278416633606), ('djojo', 0.7732561230659485), ('harya', 0.7721596956253052)]"
1666,5,aryo,"[('ardi', 0.8182917833328247), ('ario', 0.8134713172912598), ('kusumo', 0.7827761769294739), ('krisna', 0.7822275757789612), ('haryo', 0.7741571664810181), ('fitria', 0.7696541547775269), ('dicky', 0.7685335278511047), ('winata', 0.7652985453605652), ('rangga', 0.7651034593582153), ('kusumah', 0.7649608254432678)]"
1667,5,kesuma,"[('kusuma', 0.8041958212852478), ('kusumah', 0.7634074091911316), ('adji', 0.7453244924545288), ('atmaja', 0.7279348969459534), ('atmadja', 0.7183820605278015), ('ratoe', 0.7029713988304138), ('permana', 0.6967869400978088), ('wardhani', 0.6867191791534424), ('kemala', 0.6806041598320007), ('ardi', 0.6790369749069214)]"
1669,5,kolopaking,"[('novia', 0.8657809495925903), ('agustina', 0.8103666305541992), ('henny', 0.8086475133895874), ('singgih', 0.8041221499443054), ('feby', 0.8017073273658752), ('fitriana', 0.8000074625015259), ('femmy', 0.7996122241020203), ('atmaja', 0.7972466945648193), ('sulistyowati', 0.7964708805084229), ('wijayanti', 0.7950332164764404)]"
1676,5,adri,"[('andri', 0.8302509188652039), ('ragil', 0.8230574131011963), ('darmadji', 0.8090651631355286), ('permana', 0.8027524352073669), ('rully', 0.8023572564125061), ('prasetyo', 0.8011647462844849), ('yudi', 0.8003295063972473), ('wicaksono', 0.7995244264602661), ('wibisono', 0.7993218898773193), ('singgih', 0.7958258986473083)]"
1691,5,millyena,"[('parahitha', 0.9816500544548035), ('novyansari', 0.9297004342079163), ('alivia', 0.9255533218383789), ('yemi', 0.9208275675773621), ('fionista', 0.9199442863464355), ('jelsen', 0.9114105701446533), ('lindiawati', 0.8983638286590576), ('mariroh', 0.8946095705032349), ('febriana', 0.8856818079948425), ('meriatul', 0.8820705413818359)]"
1695,5,parahitha,"[('millyena', 0.9816498756408691), ('novyansari', 0.9438803791999817), ('alivia', 0.929874062538147), ('yemi', 0.9274550080299377), ('fionista', 0.9214925169944763), ('mariroh', 0.9174638986587524), ('jelsen', 0.9154578447341919), ('lindiawati', 0.9063754081726074), ('meriatul', 0.9032402634620667), ('fariha', 0.8997431397438049)]"
1699,5,agustina,"[('anggraeni', 0.8836947083473206), ('novia', 0.8784818649291992), ('wijayanti', 0.8766295313835144), ('yuliana', 0.8741282224655151), ('pratiwi', 0.8686718940734863), ('puspitasari', 0.8647109270095825), ('anggraini', 0.8625898361206055), ('ningrum', 0.8618308901786804), ('rizka', 0.859757125377655), ('safitri', 0.8593237400054932)]"
1702,5,kusno,"[('sudjarwadi', 0.9240120649337769), ('burnama', 0.830830991268158), ('zulmi', 0.8210339546203613), ('pitrajaya', 0.8145514130592346), ('moward', 0.8136417865753174), ('widyawati', 0.8108474016189575), ('ratno', 0.8095752596855164), ('jajang', 0.8079020977020264), ('sophan', 0.8076642751693726), ('tuty', 0.8054136037826538)]"
1705,5,soni,"[('suman', 0.8029093742370605), ('sarita', 0.7745710015296936), ('richa', 0.7720116972923279), ('chitra', 0.7713755965232849), ('arfian', 0.7649396061897278), ('widyawati', 0.7628020644187927), ('aliya', 0.7590353488922119), ('nadira', 0.7582096457481384), ('pathak', 0.7573357224464417), ('widowati', 0.756274402141571)]"
1706,5,koswara,"[('meidiana', 0.7784180045127869), ('febriani', 0.767854630947113), ('sunarti', 0.767466127872467), ('agustina', 0.7622225284576416), ('asmoro', 0.7580657601356506), ('septiana', 0.7540642619132996), ('pramudita', 0.7536195516586304), ('kurniadi', 0.7532631754875183), ('fabanyo', 0.7495936155319214), ('widjanarko', 0.7495254278182983)]"
1708,5,broto,"[('bolot', 0.7663849592208862), ('surachman', 0.7611712217330933), ('tyas', 0.7519997954368591), ('soleh', 0.7516379952430725), ('dudung', 0.7497696280479431), ('agustina', 0.7482333779335022), ('nunung', 0.7462813258171082), ('oom', 0.7451533079147339), ('dayat', 0.7439475059509277), ('triana', 0.7432169318199158)]"
1709,5,moward,"[('aedy', 0.955682635307312), ('zulmi', 0.836288332939148), ('sudjarwadi', 0.8250597715377808), ('hengky', 0.8189398646354675), ('awaludin', 0.8166835308074951), ('kusno', 0.8136417865753174), ('surachman', 0.8000766038894653), ('saptahadi', 0.7992864847183228), ('aming', 0.7984654307365417), ('hardi', 0.7975327968597412)]"
2065,5,drh,"[('moch', 0.8606621026992798), ('mochamad', 0.8569028973579407), ('soepardi', 0.8450459837913513), ('irianto', 0.8436216711997986), ('mochammad', 0.8276845812797546), ('suhadi', 0.8245410323143005), ('sulaeman', 0.8150457143783569), ('soedarsono', 0.8139935731887817), ('singgih', 0.8128029704093933), ('wahyudi', 0.8078089952468872)]"
2066,5,suardi,"[('mochamad', 0.8563520908355713), ('yogie', 0.8520368933677673), ('edy', 0.8398011922836304), ('mochammad', 0.8327069282531738), ('pramono', 0.8251296281814575), ('hery', 0.8173778653144836), ('teten', 0.8160272240638733), ('irianto', 0.8112766146659851), ('singgih', 0.8093237280845642), ('prayitno', 0.8078931570053101)]"
2070,5,soediro,"[('mochamad', 0.8442530035972595), ('agoes', 0.8331593871116638), ('singgih', 0.8237297534942627), ('mochammad', 0.810587465763092), ('subekti', 0.8103188872337341), ('ramelan', 0.8075536489486694), ('drh', 0.8058929443359375), ('irianto', 0.8038663268089294), ('riyana', 0.8005349636077881), ('sofwan', 0.7987208366394043)]"
2081,5,suyud,"[('hartoyo', 0.9500765800476074), ('priasmoro', 0.8888210654258728), ('pryitno', 0.8724521994590759), ('hamdani', 0.8624509572982788), ('sonjaya', 0.8551309108734131), ('susilodinata', 0.8542318344116211), ('fikrul', 0.8482076525688171), ('kapriaga', 0.8455430269241333), ('jbr', 0.8454127311706543), ('budarsa', 0.8443299531936646)]"
2083,5,priasmoro,"[('novendra', 0.9044409394264221), ('suyud', 0.8888210654258728), ('hartoyo', 0.8785996437072754), ('halay', 0.8669387102127075), ('kapriaga', 0.8630387783050537), ('susilodinata', 0.8504329919815063), ('risman', 0.845862627029419), ('kurniadi', 0.8445780873298645), ('zulqodri', 0.8429274559020996), ('satriawan', 0.8412787914276123)]"
2084,5,kusnan,"[('hartoyo', 0.8554583787918091), ('suyud', 0.8368817567825317), ('hamdani', 0.8331466913223267), ('mochamad', 0.8307951092720032), ('jayadi', 0.8284723162651062), ('mochammad', 0.826917290687561), ('samsudin', 0.8257020711898804), ('muhidin', 0.8241860866546631), ('hery', 0.822711169719696), ('saifudin', 0.8226167559623718)]"
2085,5,sonjaya,"[('suyud', 0.8551308512687683), ('hartoyo', 0.8530483841896057), ('priasmoro', 0.8390239477157593), ('pryitno', 0.8322815299034119), ('wicaksono', 0.8248870968818665), ('kapriaga', 0.8230329155921936), ('kurniadi', 0.8207976818084717), ('ruswandi', 0.8147668838500977), ('ervan', 0.8143283724784851), ('febrianto', 0.8103203773498535)]"
2087,5,pryitno,"[('suyud', 0.8724521994590759), ('kapriaga', 0.8694145679473877), ('poha', 0.8573232889175415), ('fikrul', 0.8510144948959351), ('halay', 0.8461799621582031), ('susilodinata', 0.8445185422897339), ('hartoyo', 0.8444313406944275), ('priasmoro', 0.8363745808601379), ('sonjaya', 0.8322815895080566), ('ervan', 0.8194103837013245)]"
2090,5,efendi,"[('saifudin', 0.8483037948608398), ('hamdani', 0.8462303876876831), ('mochammad', 0.844482421875), ('hartoyo', 0.8415116667747498), ('akhmad', 0.8406768441200256), ('munawar', 0.8387603163719177), ('sulaeman', 0.8363175392150879), ('baharuddin', 0.8338410258293152), ('rohman', 0.831264853477478), ('muhidin', 0.831015944480896)]"
2122,5,adinata,"[('jayaningrat', 0.8256637454032898), ('diningrat', 0.815414309501648), ('adiningrat', 0.8063113689422607), ('hadjie', 0.7974461913108826), ('ngalaga', 0.7972685098648071), ('koesoemah', 0.7907595634460449), ('djadja', 0.7891654372215271), ('pakunegara', 0.7852227091789246), ('suryonegoro', 0.7835270166397095), ('sarwi', 0.7806462049484253)]"
2124,5,condro,"[('haryoko', 0.794636607170105), ('sarwi', 0.793741762638092), ('hadjie', 0.7909991145133972), ('atmojo', 0.7905257940292358), ('glr', 0.7887048721313477), ('nganten', 0.7869649529457092), ('hadiwinoto', 0.7856200933456421), ('sutarya', 0.783387303352356), ('kjahi', 0.7808850407600403), ('suyitno', 0.7807273864746094)]"
2125,5,maktal,"[('medayin', 0.7459980845451355), ('muninggar', 0.7331691980361938), ('umarmaya', 0.7241533994674683), ('kertawarma', 0.7188706398010254), ('gendrayana', 0.7159400582313538), ('andayaningrat', 0.7057722806930542), ('kalabendana', 0.705694317817688), ('rawana', 0.7001510262489319), ('marpinjun', 0.6951521039009094), ('yudayana', 0.6939970850944519)]"
2126,5,wiku,"[('pandita', 0.7335329055786133), ('kalawan', 0.7189467549324036), ('kiayi', 0.7090674042701721), ('rawuh', 0.7064507603645325), ('jumeneng', 0.7064146995544434), ('Å›rÄ«', 0.7032106518745422), ('batari', 0.6978217959403992), ('sarta', 0.6935271620750427), ('sÄ•rat', 0.6934372186660767), ('mahaprabu', 0.690057098865509)]"
2127,5,hurip,"[('wonten', 0.7696269154548645), ('kagungan', 0.7613433003425598), ('mring', 0.7404088377952576), ('banjur', 0.7369648218154907), ('punika', 0.7353565692901611), ('tentrem', 0.7347210049629211), ('kerta', 0.7334499955177307), ('witing', 0.7331057190895081), ('kanggo', 0.7311692833900452), ('sarwi', 0.7301695346832275)]"
2128,5,jumeneng,"[('ingkang', 0.8120806813240051), ('sayidin', 0.8073619604110718), ('sinuwun', 0.8024998903274536), ('panatagama', 0.788830041885376), ('rawuh', 0.776177704334259), ('kaping', 0.7728063464164734), ('bhra', 0.7645808458328247), ('kagungan', 0.7644956111907959), ('kangjeng', 0.763242781162262), ('punika', 0.759533703327179)]"
2129,5,hayuning,"[('mamayu', 0.7770664095878601), ('memayu', 0.7559351921081543), ('bawana', 0.7427502274513245), ('ngr', 0.7231894135475159), ('nastiti', 0.7116675972938538), ('hurip', 0.7091652154922485), ('sayyidin', 0.7091071605682373), ('lisda', 0.7064917683601379), ('apriliani', 0.7052471041679382), ('suardana', 0.7050521373748779)]"
2130,5,abiyoso,"[('adiguna', 0.7111185789108276), ('suyitno', 0.7020437717437744), ('wijoyo', 0.6974849104881287), ('pamuji', 0.6959370374679565), ('asmoro', 0.6950609683990479), ('mudji', 0.6880618333816528), ('raharjo', 0.6875576376914978), ('atmaja', 0.6851763129234314), ('cahyono', 0.6850727796554565), ('prasetyo', 0.6800091862678528)]"
2134,5,danu,"[('arum', 0.7597008943557739), ('winata', 0.756716787815094), ('ardi', 0.7529727816581726), ('murti', 0.7497035264968872), ('aryo', 0.7474602460861206), ('yuda', 0.7474322319030762), ('kumala', 0.7472313046455383), ('betara', 0.7449533343315125), ('kusumah', 0.7366796731948853), ('rangga', 0.7341614961624146)]"
2142,5,kosasih,"[('sunarya', 0.8223974704742432), ('singgih', 0.8109397292137146), ('budiono', 0.8104856014251709), ('sutisna', 0.8085935711860657), ('tatang', 0.8069673776626587), ('santosa', 0.8055464029312134), ('atmaja', 0.8022688031196594), ('kusnan', 0.7985792756080627), ('setiadi', 0.7951083779335022), ('moch', 0.7909738421440125)]"
2143,5,wardoyo,"[('puspo', 0.8680052757263184), ('sastro', 0.816250741481781), ('cokro', 0.812108039855957), ('djojo', 0.8085421323776245), ('suwarno', 0.7981992363929749), ('atmo', 0.7958605289459229), ('nurhadi', 0.7921206951141357), ('sunarya', 0.7908405661582947), ('sapto', 0.7900819182395935), ('atmaja', 0.7883931994438171)]"
2144,5,atmo,"[('sastro', 0.8214571475982666), ('harjo', 0.8207935690879822), ('suwarno', 0.8162332773208618), ('sumarto', 0.8152582049369812), ('sutisna', 0.814518928527832), ('suyono', 0.8124342560768127), ('pawiro', 0.7983812689781189), ('wardoyo', 0.7958603501319885), ('soediro', 0.7956118583679199), ('wiyono', 0.7937524914741516)]"
2147,5,wahono,"[('hartoyo', 0.8034629821777344), ('setyawan', 0.7983864545822144), ('wicaksono', 0.7905769944190979), ('hery', 0.7901419997215271), ('sudjana', 0.7888989448547363), ('priyo', 0.7881176471710205), ('sapto', 0.7877886295318604), ('prasetyo', 0.7858832478523254), ('subekti', 0.7855557203292847), ('handoyo', 0.784940242767334)]"
2162,5,joyo,"[('kusumo', 0.8217029571533203), ('wijoyo', 0.8214811086654663), ('mangun', 0.7823610901832581), ('rekso', 0.7742099165916443), ('kasan', 0.7740675210952759), ('pawiro', 0.7726619243621826), ('guno', 0.7717574238777161), ('harjo', 0.770399808883667), ('cokro', 0.7587398290634155), ('ngabehi', 0.7540969252586365)]"
2175,5,merto,"[('tasma', 0.7807526588439941), ('narto', 0.7628904581069946), ('mangun', 0.746321976184845), ('sabdo', 0.7408484220504761), ('gedeng', 0.7397946715354919), ('wirana', 0.7329735159873962), ('marto', 0.7275334596633911), ('kusumo', 0.7261245846748352), ('poero', 0.7247530221939087), ('balangantrang', 0.7231107354164124)]"
2176,5,ngabehi,"[('ngabei', 0.8544980883598328), ('ronggo', 0.8469296097755432), ('tumenggung', 0.7970941066741943), ('radhen', 0.7961248755455017), ('anom', 0.7883568406105042), ('kusumo', 0.7686823010444641), ('kangjeng', 0.7569261789321899), ('joyo', 0.7540969848632812), ('wijoyo', 0.7518954873085022), ('raden', 0.7492474913597107)]"
2177,5,soerjo,"[('gph', 0.7761151194572449), ('kusumo', 0.7695032954216003), ('haryo', 0.7635065317153931), ('margono', 0.7546960115432739), ('sastro', 0.7368609309196472), ('mangun', 0.7339417338371277), ('tirto', 0.7297675609588623), ('darsono', 0.7258942723274231), ('sukarjo', 0.7256687879562378), ('djojo', 0.72466641664505)]"
2180,5,sindu,"[('mangun', 0.7291279435157776), ('joyo', 0.7171404957771301), ('arum', 0.6975125074386597), ('minak', 0.6928268671035767), ('kusumo', 0.6889083981513977), ('kanwa', 0.6783533692359924), ('harjo', 0.6775341033935547), ('munding', 0.6770210266113281), ('wijoyo', 0.6764987707138062), ('teleng', 0.6753244400024414)]"
2321,5,odang,"[('oesman', 0.7696926593780518), ('nirwandar', 0.7471989393234253), ('sapta', 0.73411625623703), ('gurning', 0.7292559742927551), ('radhar', 0.7121057510375977), ('maruarar', 0.7106276154518127), ('nurngudiono', 0.7102882266044617), ('hardjapamekas', 0.705258846282959), ('pulungan', 0.7051960825920105), ('riyana', 0.7031974792480469)]"
2326,5,nirwandar,"[('odang', 0.7471988201141357), ('oesman', 0.6794036626815796), ('sapta', 0.6649285554885864), ('eka', 0.6239151954650879), ('prajogo', 0.5890166163444519), ('sidabutar', 0.5833349227905273), ('adhyaksa', 0.5829558968544006), ('pangestu', 0.582754373550415), ('simarmata', 0.5813657641410828), ('widjaja', 0.5777841806411743)]"
2327,5,oesman,"[('syahrial', 0.7892905473709106), ('odang', 0.7696927189826965), ('soediro', 0.74936842918396), ('siregar', 0.744928240776062), ('samsudin', 0.7384903430938721), ('singgih', 0.7346178293228149), ('rahadi', 0.7320122718811035), ('subekti', 0.731881320476532), ('surbakti', 0.7316485047340393), ('riyana', 0.7286926507949829)]"
2329,5,sembiring,"[('meliala', 0.8623776435852051), ('depari', 0.7712662220001221), ('peranginangin', 0.7460671067237854), ('sinulingga', 0.7394066452980042), ('tarigan', 0.7348328828811646), ('pelawi', 0.7307372093200684), ('girsang', 0.726310670375824), ('sagala', 0.7259921431541443), ('sitorus', 0.7247639894485474), ('siboro', 0.7191886901855469)]"
2330,5,adhi,"[('makayasa', 0.8258904218673706), ('nugraha', 0.7628392577171326), ('wiratama', 0.6990419626235962), ('wicaksono', 0.687537431716919), ('setyo', 0.6864434480667114), ('budhi', 0.6815477609634399), ('wira', 0.679210364818573), ('setyawan', 0.6785492300987244), ('prasetya', 0.6779435276985168), ('santosa', 0.6772897243499756)]"
2371,5,indra,"[('bekti', 0.6874647736549377), ('krisna', 0.6619277000427246), ('indera', 0.6603109240531921), ('sjafri', 0.6506885886192322), ('herlambang', 0.6439939141273499), ('mandrakumara', 0.6189132332801819), ('yudhistira', 0.6184438467025757), ('angga', 0.6158466935157776), ('andika', 0.6126695871353149), ('prasetya', 0.6059363484382629)]"
2373,5,inderanya,"[('indera', 0.6157165765762329), ('panca', 0.5971117615699768), ('jnana', 0.566347062587738), ('penciuman', 0.5562463998794556), ('indrawi', 0.5559643507003784), ('radhar', 0.5526736974716187), ('indria', 0.5490134954452515), ('indra', 0.5412323474884033), ('vavel', 0.5350450873374939), ('lampah', 0.5253206491470337)]"
