tingkat setelah parent,parent
5,rangkuti
5,sapardi
5,afrizal
5,malna
5,yosi
5,rivai
5,amran
5,effendi
5,nurdin
5,sanusi
5,taufiq
5,djamil
5,bachtiar
5,usman
5,junus
5,sanusi
5,armijn
5,junus
5,rangkuti
5,lafran
5,rosidi
5,hamsad
5,alisjahbana
5,situmorang
5,rivai
5,ajidarma
5,gumira
5,mihardja
5,utuy
5,rosidi
5,amidjaja
5,emha
5,ajip
5,hamsad
5,triwikromo
5,junus
5,akhmad
5,zaini
5,rivai
5,muchtar
5,hamidy
5,djamal
5,lutfi
5,munawar
5,effendi
5,mochamad
5,muhidin
5,mochammad
5,munawar
5,baharuddin
5,husin
5,efendi
5,djamal
5,idham
5,lutfi
5,djamil
5,hamidy
5,rivai
5,effendi
5,bachtiar
5,djafar
5,baharuddin
5,awaluddin
5,zaini
5,sanusi
5,latief
5,gani
5,muchtar
5,rivai
5,lutfi
5,akhmad
5,effendi
5,sofwan
5,latif
5,idham
5,luthfi
5,akhmad
5,zulkifli
5,baharuddin
5,djamil
5,awaluddin
5,basri
5,moh
5,idham
5,bakri
5,rivai
5,amran
5,effendi
5,nurdin
5,sanusi
5,taufiq
5,djamil
5,bachtiar
5,usman
5,junus
5,bachtiar
5,sofyan
5,junus
5,djamil
5,edy
5,helmi
5,rivai
5,mulyana
5,muchtar
5,syaiful
5,lutfi
5,munawar
5,nasrul
5,fauzan
5,rifai
5,fahmi
5,hamdani
5,zaki
5,idham
5,fikri
5,akhmad
5,husin
5,awaluddin
5,efendi
5,nurdin
5,ismet
5,manan
5,sulaeman
5,djamal
5,mochamad
5,junus
5,djamil
5,rivai
5,lutfi
5,bachtiar
5,rusli
5,muchtar
5,randhika
5,effendi
5,khaidir
5,chairil
5,rivai
5,anwar
5,zaini
5,djamil
5,bakri
5,saiful
5,joesoef
5,sanusi
5,khaidir
5,rosihan
5,anwar
5,fuady
5,emha
5,khaidir
5,nadjib
5,hamsad
5,rusli
5,pane
5,achdiat
5,akhmad
5,syamsul
5,rifai
5,munawar
5,muchtar
5,djamil
5,syaiful
5,hamdani
5,arief
5,lutfi
5,amien
5,luthfi
5,taufiq
5,djamal
5,zulkifli
5,akhmad
5,dimyati
5,chalid
5,munir
5,fahmi
5,yudi
5,ramli
5,mochammad
5,priyanto
5,syamsul
5,wahyudi
5,alfian
5,mochamad
5,hendri
5,akhmad
5,munawar
5,kiemas
5,fahmi
5,akhmad
5,rais
5,bachri
5,madjid
5,lutfi
5,mohamad
5,ridwan
5,fauzan
5,arief
5,ichsan
5,saiful
5,helmi
5,tohir
5,bachtiar
5,hamdani
5,yudi
5,syamsul
5,syamsul
5,zaki
5,lutfi
5,fuad
5,fadhil
5,muchtar
5,farid
5,fikri
5,fauzan
5,akmal
5,luthfi
5,yasin
5,jufri
5,munawar
5,fuad
5,akhmad
5,lutfi
5,muchtar
5,nizar
5,assegaf
5,lutfi
5,munawar
5,nasrul
5,fauzan
5,rifai
5,fahmi
5,hamdani
5,zaki
5,idham
5,fikri
5,basri
5,fuad
5,zaini
5,akhmad
5,munawar
5,rifai
5,lutfi
5,munir
5,fauzan
5,usman
5,mochamad
5,muhidin
5,mochammad
5,munawar
5,baharuddin
5,husin
5,efendi
5,djamal
5,idham
5,lutfi
5,nurdin
5,zaini
5,basri
5,luthfi
5,baharuddin
5,fuad
