tingkat setelah parent,parent,similarity
4,sunarya,"[('sunandar', 0.9246402978897095), ('nurhadi', 0.8318438529968262), ('suryana', 0.8308592438697815), ('suwarno', 0.8263724446296692), ('sutisna', 0.8238204121589661), ('mulyanto', 0.822851300239563), ('kosasih', 0.8223974108695984), ('pepen', 0.8221848011016846), ('budiono', 0.8181083798408508), ('ujang', 0.8132957220077515)]"
4,suwarno,"[('hery', 0.8337171673774719), ('nurhadi', 0.8266724348068237), ('sunarya', 0.8263724446296692), ('sastro', 0.8233086466789246), ('suyono', 0.8176470994949341), ('sumarto', 0.8171936273574829), ('sunardi', 0.8168296217918396), ('atmo', 0.8162332773208618), ('yoyok', 0.8152353167533875), ('sugito', 0.8131995797157288)]"
4,sutisna,"[('sunarya', 0.8238202929496765), ('hery', 0.8188100457191467), ('solihin', 0.8186618685722351), ('sukardi', 0.8173397779464722), ('sumarno', 0.8157970309257507), ('atmo', 0.8145189881324768), ('sumardi', 0.8142866492271423), ('supriadi', 0.8138871192932129), ('nurhadi', 0.8134200572967529), ('sulaeman', 0.8133271336555481)]"
4,supriadi,"[('edy', 0.8403239846229553), ('supardi', 0.8360642790794373), ('mulyana', 0.8314550518989563), ('suryana', 0.8296279907226562), ('supriatna', 0.827262282371521), ('irianto', 0.8179295063018799), ('dedi', 0.8159717321395874), ('sofwan', 0.8145042061805725), ('sudrajat', 0.8140112161636353), ('teten', 0.8138920664787292)]"
4,mulyana,"[('setiadi', 0.8525875210762024), ('sudrajat', 0.8516782522201538), ('hery', 0.8493655920028687), ('suryana', 0.8426060080528259), ('hamdani', 0.8417161703109741), ('dadang', 0.8388988971710205), ('sarwono', 0.838137686252594), ('hartoyo', 0.8364980816841125), ('suparman', 0.8347709774971008), ('sumarsono', 0.8336762189865112)]"
4,sudrajat,"[('mulyana', 0.851678192615509), ('edy', 0.8371851444244385), ('setiadi', 0.8300228714942932), ('mochamad', 0.8288460969924927), ('mochammad', 0.8269762992858887), ('hery', 0.8265466094017029), ('supardi', 0.826150119304657), ('priyo', 0.8252594470977783), ('wahyudi', 0.8219707012176514), ('irianto', 0.8201464414596558)]"
4,priyo,"[('hery', 0.8537819981575012), ('supriyanto', 0.8463055491447449), ('setyo', 0.8425798416137695), ('pramono', 0.8400349020957947), ('agoes', 0.8366307616233826), ('putranto', 0.8283103704452515), ('mochamad', 0.828289270401001), ('purwanto', 0.825435221195221), ('sudrajat', 0.8252596855163574), ('setyawan', 0.8243790864944458)]"
4,hartoyo,"[('suyud', 0.9500764608383179), ('hamdani', 0.8858266472816467), ('priasmoro', 0.8785996437072754), ('kusnan', 0.8554583191871643), ('sonjaya', 0.8530483841896057), ('mochammad', 0.8472084403038025), ('pryitno', 0.8444314002990723), ('sofwan', 0.8433513045310974), ('kurniadi', 0.8420863747596741), ('efendi', 0.8415116667747498)]"
4,handoko,"[('prasetyo', 0.8449456095695496), ('hermawan', 0.8309827446937561), ('setyo', 0.8273385167121887), ('sapto', 0.8271641731262207), ('wibowo', 0.8261137008666992), ('wicaksono', 0.8185054063796997), ('yudi', 0.8164869546890259), ('heri', 0.8154141902923584), ('wibisono', 0.8126331567764282), ('santosa', 0.8016360998153687)]"
4,syaiful,"[('yudi', 0.8561258912086487), ('ramli', 0.8301786184310913), ('mochammad', 0.8283734917640686), ('priyanto', 0.8255060911178589), ('syamsul', 0.823061466217041), ('wahyudi', 0.8209073543548584), ('alfian', 0.8170083165168762), ('mochamad', 0.814333975315094), ('hendri', 0.8120974898338318), ('akhmad', 0.8118677735328674)]"
4,arief,"[('yudi', 0.838502049446106), ('budiman', 0.8128585815429688), ('hidayat', 0.8058383464813232), ('sofyan', 0.8021304607391357), ('ridwan', 0.8001793026924133), ('fahmi', 0.7999845147132874), ('bachtiar', 0.7970776557922363), ('herry', 0.7951144576072693), ('zaenal', 0.7945252060890198), ('edy', 0.7941365838050842)]"
4,andri,"[('hengky', 0.8462529182434082), ('rully', 0.8439784646034241), ('yudi', 0.8362203240394592), ('noval', 0.830697238445282), ('adri', 0.8302506804466248), ('permana', 0.8258274793624878), ('setiadi', 0.8250225782394409), ('suwandi', 0.8239660263061523), ('ragil', 0.8214413523674011), ('firmansyah', 0.8203725218772888)]"
